"Project_Name","Dataflow","Design","Globalization","Interoperability","Maintainability","Mobility","Naming","Performance","Portability","Reliability","Security","Usage"
"Alpha","0.058823529411764705","0.11764705882352941","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.058823529411764705"
"Bravo","0.015384615384615385","0.06153846153846154","0.0","0.0","0.015384615384615385","0.0","0.0","0.07692307692307693","0.0","0.0","0.0","0.03076923076923077"
